,name,category_1,category_2,origin,description
974,Hughere Thes Pinot Noir 2017,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Aromas of fresh raspberry and wild blackberry mingle with flavors of caramel and caramelized cherry, followed by hints of earthinessammered fruit and toast. The mouthfeel is soft, round, and generous, with flavors of ripe cherry and plum. The mouthfeel is well-balanced, round, and medium-bodied, with a smooth and juicy finish.  The tannins are well-integrated, soft, and well-rounded. This wine is very drinkable now and will cellar well for 3 to 5 years."
975,Galbidu Duter Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,South Africa,"This wine is very approachable now and will cellar well for the next 2-3 years. It is well-suited to both summer Stub and BBQs. The 2016 Galbidu Duter Cabernet Sauvignon is a medium bodied wine with an abundance ofenemy grapes in the blend. The nose offers aromas of red and black fruits and chocolate. The palate is soft, round and well-rounded, with generous and ripe tannins. It is ready to drink now and will cellar well for 5-8 years."
976,Ryberako Russian Riveri Pinot No 2004,Red Wine,Pinot Noir,"Russian River, Sonoma County, California","The 2004 Russian River Valley is employs the classic Burgundian techniques of fermentation in neutral oak barrels and sur-lies aging in the bottle for 8 months.  The result is a wine with a rich ruby color, and aromas of raspberry and cherry with a hint of spices.  The mouth feel is full and rich, with flavors of red fruit, strawberry, and ripe cherry, complemented by well-integrated oak.  The finish is long with good acidity and soft, lingering tannins.  This wine will continue to improve for the next 3 to 5 years."
977,Tlancarinon Thimione Rieslisque Blanc 2017,White Wine,Riesling,"Rheingau, Germany","Thimione is a light-bodied and refreshing wine with a lively finish. Thimione is a perfect companion to lighter meals such as fish and white meat, especially in summer. It is also a perfect match for Asian foods, especially sushi, oysters, or Thai food with feet."
978,Sphaper Sauvignon Blanc 2002,White Wine,Sauvignon Blanc,"Central Coast, California","A crisp, fruity, well-balanced wine.  A vibrant and refreshing wine.  Bright acidity and flavors of pear, lime and lemon, with floral tones.  A long, clean, clean finish.  This wine is perfect as an aperitif or as a good companion to shellfish, especially oysters, and grilled fish, particularly Northwest Salmon, oysters in cream sauce, crab cakes and sushi.  Serve at about 60 degrees F."
979,Caly 13 Conmuku Resadermards Zinfandol 2014,Red Wine,Zinfandel,"Willamette Valley, Oregon","The 2014 vintage of Resadermards is a medium-bodied wine with bright aromas of blackberry, cherry, and ripe plum. It is medium-bodied and approachable with mouth-coating tannins and a smooth finish.  fermentation, aged in oak barrels. It is a well-rounded wine with ripe tannins, good acidity, and sweet flavors of red fruit, chocolate, and oak. The wine is very drinkable now Creepingly sweet, and will cellar well for the next 2- 3 years."
980,Grancile Hosse Riesling Masquee 1995,White Wine,Riesling,"Willamette Valley, Oregon","The nose offers bright aromas of peach, pear and floral notes with a hint of citrus.  The mouthfeel is medium-bodied with flavors of peach and pear balanced by crisp acidity and mineral tones.  The finish is crisp, with lingering minerality.  Serve well-chilled.  tipping of a little more than one hour before enjoying."
981,Roselai Thross Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2016 Thross Vineyardemption is a wine of extraordinary intensity and depth. The wine is expressive with aromas of fresh blackberries, black cherries, and ripe strawberries with notes of pepper, baking spices, leather, cigar box, and an intriguing hint of vanilla. The mouthfeel is silky and lush with a great balance between fruit and acidity. The mid-palate is soft and round with round, round tannins. The finish is long and lingering with rich flavors of vanilla and cocoa."
982,Denwouf Winery on Jamit Rouge 2011,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2011 Denwouf Willamette Valley Pinot Noir has aromas of black cherries, dried strawberries, and cherries. Flavors mirror aromas with dried cherries, strawberries, cherries, and dried cherries with just a touch of sweetness. It is very well-balanced with sweet, ripe tannins and lingering finish."
983,Clet Sevzianes Merinas Valley Pinot Gris 2005,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","This wine is a classic example of the varietal and shows bright aromas of ripe pear, floral notes, vanilla and floral tones. On the palate, the wine is medium-bodied with flavors of citrus, floral and peach. The finish is long and crisp with good balance between sweetness and acidity. The mouth feel is soft, round yeast and malo-lactic fermentations. The wine is light-bodied with good acidity, good concentration, and a pleasingly long, fruity finish. The wine is a perfect food companion and will pair well with a wide variety of foods."
984,Roberty Wonder Grand Zinfandel 2016,Red Wine,Zinfandel,"Napa Valley, California","The 2016 Grand Cuvee is 100% Zinfandel from Napa Valley vineyards in Rutherford, Howell Mountain and St. Helena. The fruit for this wine was sourced from the Nietti Purchase, Sanford & Benedict, and Eden Valley vineyards. The grapes were picked at the peak of ripeness, cold-soaked for two weeks and racked into new French oak barrels for a complete fermentation. The wine was then pressed to stainless steel tanks and racked into a combination of leftover barrels and new wood for a total of 21 months. The wine was then bottled without fining or filtration and held for eight months prior to release. The wine is a rich, juicy and approachable Zinfandel with flavors of blackberries, cherries and cassis, plus a hint of toasty oak and earthiness. The nose reveals fresh ripe red and black fruits, with a touch of sweet oak. The mouthfeel is smooth, round and supple, with a rich mouthfeel, round mouthfeel, sweet tannins, and a long, lingering finish. The wine can be enjoyed now or cellar for up to 10 years."
985,Setapeilp Merlot 2006,Red Wine,Merlot,Chile,"The 2006 vintage of the Setapeilp Merlot was aged for 22 months in French oak barrels and in bottle. The wine is medium garnet in color with violet tones. The aroma offers pleasant floral notes of violet and violets, with vanilla, cloves and a touch of pepper. On the palate, the wine is fresh and fruity with good acidity, well-integrated oak, and a pleasingly long finish. The wine is well-balanced with a touch of sweetness. It is best consumed within three to five yearsnutritionally-paired pairings."
986,Petell Whert-Pinot Noir 1998,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 1998 Whert- conditional Pinot Noir is a lovely wine, medium-bodied and very approachable, with intense fruit flavors, excellent color and aromas, good texture and a pleasingly long finish.  The wine is ready to drink now and will cellar well for at least five years.  It is a perfect match for roasted vegetables, particularly in cream sauces, light pastas with roasted vegetables and red sauces.  This wine will also pair well with mild cheeses and roasted vegetables, particularly those with a sweet and sour mixture."
987,Robert Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,California,"This Cabernet Sauvignon shows aromas of black cherries, plum, cocoa and a hint of black pepper. Flavors mirror aromas with flavors of black cherries, blackberries, cassis and an earthiness with a touch of clove. Medium-bodied, with round tannins and lingering finish."
988,Clitt & Nock Reserva Cabernet Sauvignon (1.5 Liter Magful) 1995,Red Wine,Cabernet Sauvignon,Chile,"Intense ruby red in color, with a complex, intense bouquet, reminiscent of red fruits, such as blackberries, currants and strawberries, combined with well-integrated oak tones. The wine has a dry, well-balanced flavor, with well-integrated tannins and acidity. Its great structure and complexity make it an excellent food companion.  The wine will continue to improve for the next two years and will cellar well for at least five years."
989,Qumley Famel Estate Betaire Chardonnay (1.5 Liter Magnum) 2018,White Wine,Chardonnay,"Russian River, Sonoma County, California","This 2018 vintage was a cooler growing season that gave the grapes more time to develop and develop flavor. The 2017 vintage of Famel Estate Chardonnay is bright and fruity with flavors of lemon and tropical fruit. The wine is well-balanced and well-crafted, with a nice mouthfeel and a long, lingering finish. The 2018 vintage of Famel Estate Chardonnay is a blend of Chardonnay and barrel fermented Sauvignon Blanc. A portion of the wine is aged on lees for 7 months, imparting richness to the mouthfeel and complexity. The wine is well-balanced, with a medium body and refreshing acidity. The aromas of the wine are generous and inviting, with fresh pear, lemon and mineral flavors. The wine is refreshing with mineral and crisp acidity, and has a crisp and refreshing mouthfeel. The mouthfeel is soft and round, with mouth-coating acidity, providing balance to the wine's structure. The aromas of the wine are generous and inviting, with fresh pear, lemon and mineral flavors. The finish is long and refreshing, with lingering flavors of citrus and spice."
990,Rimena Winery Oakere Zetit Syrah 2012,Red Wine,Syrah/Shiraz,"Willamette Valley, Oregon","This wine is a true pleasure to drink. The nose opens with fresh aromas of blackberry and cherry with hints of violet and violets. Flavors mirror aromas with flavors of blackberries, cherries and vanilla. The mouthfeel is soft and sweet with balanced acidity and soft tannins."
991,Teluca Sauvignon Blanc 2018,White Wine,Sauvignon Blanc,Chile,"Straw yellow color with green tones. Intense and fresh aromas of citrus fruits such as grapefruit, kiwi, and gooseberry, as well as fresh herbs, melon, and minerals. Medium-bodied, with good acidity and freshness, with good volume and mineral flavors, well-integrated and balanced alcohol, and mineral nuances. Pair with salads, seafood, and grilled foods."
992,Tessara & Hance Pinot Nalilo 2014,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine has a dark ruby color with aromas of cherry, chocolate, and a hint of violets. The mouthfeel is full and generous, with flavors of ripe fruit, spice and sweet oak. The tannins are supple and well-integrated, and the finish is long with lingering flavors of cherry and spice. The mouth feel is well-balanced between sweetness and fresh acidity, with balanced acidity and acidity."
993,Domaine de Bourgognier Ca Doure Chableulignalles Rose Sire 2006,Pink and Rosé,Rosé,"Burgundy, France","The wine has a pale pink color with slightly tints of violet. The nose offers a fine bouquet of aromas of red fruits, citrus and fresh strawberries. The mouth is very fresh with good freshness. The wine is full-bodied with flavors of strawberries, red currants, and raspberries. The wine is well-balanced, well-balanced and very pleasant on the finish. The wine is very versatile wine and will complement seafood, grilled fish and dishes with rich sauces."
